sequence_sha256,length,label,source_class,cluster_id,split
884080f24f5e82f1ce361b84f303d9f116c235252c7f1343a453526f945858a1,24,amp,independent,0,test
e3c9a9870f92786eb0c4074be68df98b615b423260aeb259f87494ca49de9fe2,27,amp,independent,1,train
e6c7883f5a3f969ef3f92d8c93e565588d4edce26f079b8fe15e98c78ffaa9ee,18,amp,independent,2,train
3714bdb352e5d37bd8579c9be75b4c5902f615558c9810724561640ccb686910,23,amp,independent,3,train
c506beffaf109479ddfa74b6603c301401fb5eaef8304ac4c9f1269e8297999b,20,amp,independent,4,train
60d2c2a642acf5f01325edd9adbef0bced5e6590be24d5bba414bde99a6646ef,25,amp,independent,5,train
fc95dbbb6a5d673103f95a13e12d9cd7987a9446999f96f456870fcd36b0a04b,14,amp,independent,6,train
28b418c63e9610aef26902266c65ff104c1ea7b20c04c7d77fc0c47eeccbd1f2,24,amp,independent,7,train
f13caaa51f01488540f5d7642cf8b3085a431ddfbeafa545ce8bcc5e384454d9,20,amp,independent,8,train
c14e8d6bec965b5bf96801c5f5d75ca0265cbd676da4ad9ebe1f6d6a4d17581c,13,amp,independent,9,train
98720073734365e1ecc5985b79989fa3e2b27f1a4a5d6fbe8ea9872477d0f813,28,amp,independent,10,train
468df445542c28cdd6c76a82be9aa8368bf7975418f0461f16371d902688e3fc,21,amp,independent,11,validation
b7cc38f2c0c14ffb30b66f0b04d46fcd211ed27053d5c7d00c71c1c6012101d2,24,amp,independent,12,train
26b56fff99df8a7bcaebf90700bcfffdf2f8fe7f7125c5f7ba8362a48ae073e5,20,amp,independent,13,train
1f371e5c64de50e0f4793ea67df611203f952d7c3ea753de6716f03b7d90f9a2,30,amp,independent,14,test
68ee7ec471adb0d7f3ede4b2f29acfb1556e2f4ec870e59f2e945647ed98138d,14,amp,independent,15,train
38794189ecb78aa4e694e84de28d41ef0ffc223ea5e6ad175c505b564b66e4c8,25,amp,independent,16,train
282b07d17c89b0af2e8ab50bcbd16c3b623f8cc984b00c06aaac34b0b01a8915,15,amp,independent,17,train
661f0db15b7346503c228d8eb0ae5e97d0f4c9f223e2ed0b14e8d243393a1c44,11,amp,independent,18,train
55a9632f81401b7066f85617b07106c11fb23553b466fe88d091d92ed49ae419,11,amp,independent,18,train
af5b8c0cbfa60600912aee903af316fa5ce473ff231d8e0c5f6d1206aa00f575,18,amp,independent,19,validation
60f12dba4f2a222b9ce97dcc5f30f98bbccb735a5ba63867d0d91194291a7d9f,19,amp,independent,20,train
f0c4628cf46022ba1233cd1cae7c3b26252fcb0fe48a33e8895af7f8bb885967,20,amp,independent,21,train
17d69b12f97b9a0af84cb0588c26c8ccea3583039f853d379235a5ed2dc923aa,30,amp,independent,22,train
e24615084ec16b9c2304b4bcea2d005f7a6e9cee5d0dcb23da4165c8b51afa11,16,amp,independent,23,validation
6c10c5805374d4f3ee72ab874653badc70efb74ed656e13ae60db15d55d8d449,22,amp,independent,24,train
54acb49d9b1534775f4bfb660503e38b484f7e36536e812629737989aff826e0,24,amp,independent,25,test
e2ebda039df2a66f83e2f7ef1742c3ecad814a52bd6d17aec520e02a846847c7,21,amp,independent,26,train
fafb616af87f1c01bbe4a28919382909e69b9558537cafbca3f3fd978177ae1d,29,amp,independent,27,train
44dac3aa8fc71f36dcdd8bbe223188324fc3db414b50670d4bc027379b29b5ea,23,amp,independent,3,train
14c3fb3eba503219dc2c0b652945564d653eb5a8bae27cbbf3fc2c594c13b7f0,21,amp,independent,28,train
f1106b8e4bfc7c79f1a66779e2653392c51cd221f93028bdb2b4e7d690178e31,26,amp,independent,29,train
0d03793f99555e1d5af0d4de1eb191a15ecdd0bac60e62519861b70723183e93,12,amp,independent,30,train
8dc5fcf5d326bf1e44d99043c586445959f52fac680008d5d8fbf047016e6f9a,10,amp,independent,31,train
ef571c21a1bafc8e807ffbe6f4d74f3d431e25289e73804f7007d5639bc6c57c,20,amp,independent,32,test
310717e9ed56d7511b00d201280897b70b267b50e5b692cc268d57522e0e2345,23,amp,independent,33,train
21ae53fa85465739a977bfa464a7fc7c58a245482616363f4394297df8efc031,29,amp,independent,34,train
2831ef6a54e1f65eab872c152533b121401decf73b6a706a9abdff211effeb78,13,amp,independent,35,train
7a6e7a52f79c1b720d3501e5f3e35c94e73e07c72baa2520aaedac6f5c15f081,21,amp,independent,36,train
6bfc85085892af54d2845b5d0e84e63b93205a1bd11447367cad0cc363270f15,18,amp,independent,37,train
79052b74d0e24034eb1f66937a7ffee2a019b17305a2e2eae916f66c5d350263,17,amp,independent,38,train
646280c931976a63672084c5bd98bfb5b507ab571ba7006c8554d8af355d71db,26,amp,independent,39,train
3bf7892ef436a124876d26362e4d2e7d80b414772a2f4bad53a39fa058e31c58,23,amp,independent,40,train
d4cf84aa075744e7dc03705f6d998e238d1975f3b9308bb253769d4474707925,15,amp,independent,41,train
9e782af0902ae843961e7d38459c388fbed1e312c2601cbd9611129da6d87d90,26,amp,independent,42,train
fe17afca2080669632cf2227a2fd88138a23f877f4fbaccede99a60a937a46a2,21,amp,independent,43,train
41463233155aa67ce63fe1c3253f42903dc5c2ffaf995165b70b0844b8423c8b,28,amp,independent,44,test
7e8e36d58ac484ed12a602d395542b32fbbe274e950df309c895a029470fc1f2,23,amp,independent,45,test
204aedf928f9be7904244263d8cca662bc9b446ace8d86d127bd480847e86bb6,27,amp,independent,46,train
3f5b84fc8a1f68a2bf800d5a160df996fd8d34ed3fc09c33b4da050e31e43a4d,29,amp,independent,47,train
19e5034de215c5db9fd45bffa02418d66da7e5b4e393484c49e15a7c5205159d,20,amp,independent,8,train
46f298246b3c2f5703514f6f7ba0156a4f9102525edf7ea1bc0e32188e4086fc,29,amp,independent,48,train
afde50f04c71d99eecc222b5e592bf048397832ccbd601d410f768390be151ae,23,amp,independent,49,train
7f123bca2f61c54ace640b399c7ebfdc54ff15f9a6cd1ea346bbc388a3be2909,25,amp,independent,50,train
7be227145031b4b1d66a2386b53088cd5b679339659e32a599923338da45ef62,24,amp,independent,51,test
9150ce5c43588ab4e45ed951c4aef14e98351b74651c42a8442236c2d194f9a4,14,amp,independent,52,test
e89dcf5b280bd89ef28a914caa176fc554eaa76636bfb5b23fd589a190a407fe,27,amp,independent,53,train
e88519146ced1b10d4bbcd02dbc1391aa36fd22119f25f2709943d2cc05c0157,26,amp,independent,54,validation
